,system,latency,subset,ref,doc,level,metric,value,align
10293,HW-TSC,medium,nat,ref,ted_55061,document,bleu,22.206,sent
10294,HW-TSC,medium,nat,ref,ted_56901,document,bleu,8.2855,sent
10295,HW-TSC,medium,nat,ref,ted_57418,document,bleu,19.4852,sent
10296,HW-TSC,medium,nat,ref,ted_60872,document,bleu,12.7457,sent
10297,HW-TSC,medium,nat,ref,ted_62628,document,bleu,13.0273,sent
10298,HW-TSC,medium,nat,ref,ted_63920,document,bleu,15.9734,sent
10299,HW-TSC,low,nonn,intp,all-nonn,testset,bleu,4.2374,mwer
10300,UPV,high,nat,ref,all-nat,testset,bleu,21.3555,sent
10301,FBK,medium,nat,intp,all-nat,testset,bleu,8.4898,mwer
10302,UPV,medium,nat,intp,ted_37498,document,bleu,11.9292,mwer
10303,UPV,medium,nat,intp,ted_39331,document,bleu,12.0206,mwer
10304,UPV,medium,nat,intp,ted_42604,document,bleu,9.1655,mwer
10305,UPV,medium,nat,intp,ted_45614,document,bleu,10.9483,mwer
10306,UPV,medium,nat,intp,ted_45973,document,bleu,10.7619,mwer
10307,UPV,medium,nat,intp,ted_46528,document,bleu,7.5984,mwer
10308,UPV,medium,nat,intp,ted_49440,document,bleu,9.9754,mwer
10309,UPV,medium,nat,intp,ted_50853,document,bleu,8.1495,mwer
10310,UPV,medium,nat,intp,ted_51101,document,bleu,8.1761,mwer
10311,UPV,medium,nat,intp,ted_52268,document,bleu,10.222,mwer
10312,UPV,medium,nat,intp,ted_54706,document,bleu,7.0522,mwer
10313,UPV,medium,nat,intp,ted_55061,document,bleu,10.3566,mwer
10314,UPV,medium,nat,intp,ted_56901,document,bleu,7.0665,mwer
10315,UPV,medium,nat,intp,ted_57418,document,bleu,9.3465,mwer
10316,UPV,medium,nat,intp,ted_60872,document,bleu,11.0913,mwer
10317,UPV,medium,nat,intp,ted_62628,document,bleu,9.5536,mwer
10318,UPV,medium,nat,intp,ted_63920,document,bleu,6.2229,mwer
10319,CUNI-KIT,low,nat,ref+mw-intp,all-nat,testset,chrf,50.7693,sent+mw
10320,CUNI-KIT,medium,nonn,ref+mw-intp,03_botel-proti-proudu,document,chrf,43.6776,sent+mw
10321,CUNI-KIT,medium,nonn,ref+mw-intp,04_g-t,document,chrf,58.1092,sent+mw
10322,CUNI-KIT,medium,nonn,ref+mw-intp,05_i-dodge,document,chrf,42.7545,sent+mw
10323,CUNI-KIT,medium,nonn,ref+mw-intp,06_masaze-petr-klic,document,chrf,53.3291,sent+mw
10324,CUNI-KIT,medium,nonn,ref+mw-intp,07_bucherinsel-west,document,chrf,61.694,sent+mw
10325,CUNI-KIT,medium,nonn,ref+mw-intp,08_jizeran,document,chrf,50.6859,sent+mw
10326,CUNI-KIT,medium,nonn,ref+mw-intp,09_il-gabbiano,document,chrf,42.6438,sent+mw
10327,CUNI-KIT,medium,nonn,ref+mw-intp,10_magic-travel,document,chrf,55.1458,sent+mw
10328,CUNI-KIT,medium,nonn,ref+mw-intp,11_trefa,document,chrf,57.3418,sent+mw
10329,CUNI-KIT,medium,nonn,ref+mw-intp,12_fictionalcine,document,chrf,53.622,sent+mw
10330,CUNI-KIT,medium,nonn,ref+mw-intp,13_don-bosco-barcelona,document,chrf,42.4431,sent+mw
10331,CUNI-KIT,medium,nonn,ref+mw-intp,14_llibres-i-revistes-edb,document,chrf,41.7826,sent+mw
10332,CUNI-KIT,medium,nonn,ref+mw-intp,15_brnkni,document,chrf,51.6893,sent+mw
10333,CUNI-KIT,medium,nonn,ref+mw-intp,16_develop-most,document,chrf,54.5491,sent+mw
10334,CUNI-KIT,medium,nonn,ref+mw-intp,17_tf-smart-team,document,chrf,52.2133,sent+mw
10335,CUNI-KIT,medium,nonn,ref+mw-intp,18_tf-magic-world,document,chrf,56.3377,sent+mw
10336,CUNI-KIT,medium,nonn,ref+mw-intp,19_be-beauty,document,chrf,48.1869,sent+mw
10337,CUNI-KIT,medium,nonn,ref+mw-intp,20_mela-e-piu,document,chrf,23.6959,sent+mw
10338,CUNI-KIT,medium,nonn,ref+mw-intp,21_hat-cap,document,chrf,47.7802,sent+mw
10339,CUNI-KIT,medium,nonn,ref+mw-intp,22_new-design-world,document,chrf,51.3782,sent+mw
10340,CUNI-KIT,medium,nonn,ref+mw-intp,23_pillowdream,document,chrf,42.2853,sent+mw
10341,CUNI-KIT,medium,nonn,ref+mw-intp,24_mole-g-p-technologies,document,chrf,52.5156,sent+mw
10342,CUNI-KIT,medium,nonn,ref+mw-intp,25_folkstyle,document,chrf,56.7084,sent+mw
10343,CUNI-KIT,medium,nonn,ref+mw-intp,26_tabacco-shop,document,chrf,54.0997,sent+mw
10344,CUNI-KIT,medium,nonn,ref+mw-intp,27_f-e-international-tour,document,chrf,49.9166,sent+mw
10345,CUNI-KIT,medium,nonn,ref+mw-intp,28_samanka,document,chrf,45.5373,sent+mw
10346,CUNI-KIT,medium,nonn,ref+mw-intp,29_salon-n-g,document,chrf,56.1876,sent+mw
10347,CUNI-KIT,medium,nonn,ref+mw-intp,30_appolonas,document,chrf,57.789,sent+mw
10348,CUNI-KIT,medium,nonn,ref+mw-intp,31_devil-chocolate,document,chrf,63.9964,sent+mw
10349,CUNI-KIT,medium,nonn,ref+mw-intp,32_ck-remoa,document,chrf,48.7684,sent+mw
10350,CUNI-KIT,medium,nonn,ref+mw-intp,33_logistic-servis,document,chrf,49.6325,sent+mw
10351,CUNI-KIT,medium,nonn,ref+mw-intp,34_kol_action_accessoires,document,chrf,41.8632,sent+mw
10352,CUNI-KIT,medium,nonn,ref+mw-intp,35_f-e-time-travel-agency,document,chrf,54.4987,sent+mw
10353,CUNI-KIT,medium,nonn,ref+mw-intp,36_step-house,document,chrf,60.8079,sent+mw
10354,CUNI-KIT,medium,nonn,ref+mw-intp,37_caspowalk,document,chrf,45.7683,sent+mw
10355,CUNI-KIT,medium,nonn,ref+mw-intp,38_seta,document,chrf,53.6315,sent+mw
10356,CUNI-KIT,medium,nonn,ref+mw-intp,39_total-regal,document,chrf,47.571,sent+mw
10357,CUNI-KIT,medium,nonn,ref+mw-intp,austrian,document,chrf,59.6807,sent+mw
10358,CUNI-KIT,medium,nonn,ref+mw-intp,belgian,document,chrf,51.2325,sent+mw
10359,CUNI-KIT,medium,nonn,ref+mw-intp,dutch,document,chrf,62.5928,sent+mw
10360,CUNI-KIT,medium,nonn,ref+mw-intp,polish,document,chrf,56.4043,sent+mw
10361,CUNI-KIT,medium,nonn,ref+mw-intp,romanian,document,chrf,55.5098,sent+mw
10362,CUNI-KIT,medium,nonn,ref+mw-intp,spanish,document,chrf,50.9685,sent+mw
10363,HW-TSC,high,nonn,intp,all-nonn,testset,chrf,31.6707,mwer
10364,UPV,low,nat,intp,all-nat,testset,bleu,7.6313,mwer
10365,CUNI-KIT,medium,nat,intp,ted_37498,document,chrf,39.9331,mwer
10366,CUNI-KIT,medium,nat,intp,ted_39331,document,chrf,42.3558,mwer
10367,CUNI-KIT,medium,nat,intp,ted_42604,document,chrf,37.3686,mwer
10368,CUNI-KIT,medium,nat,intp,ted_45614,document,chrf,39.0361,mwer
10369,CUNI-KIT,medium,nat,intp,ted_45973,document,chrf,41.5418,mwer
10370,CUNI-KIT,medium,nat,intp,ted_46528,document,chrf,36.5802,mwer
10371,CUNI-KIT,medium,nat,intp,ted_49440,document,chrf,40.3234,mwer
10372,CUNI-KIT,medium,nat,intp,ted_50853,document,chrf,40.9111,mwer
10373,CUNI-KIT,medium,nat,intp,ted_51101,document,chrf,40.744,mwer
10374,CUNI-KIT,medium,nat,intp,ted_52268,document,chrf,40.8213,mwer
10375,CUNI-KIT,medium,nat,intp,ted_54706,document,chrf,35.2352,mwer
10376,CUNI-KIT,medium,nat,intp,ted_55061,document,chrf,39.9661,mwer
10377,CUNI-KIT,medium,nat,intp,ted_56901,document,chrf,40.2518,mwer
10378,CUNI-KIT,medium,nat,intp,ted_57418,document,chrf,39.3597,mwer
10379,CUNI-KIT,medium,nat,intp,ted_60872,document,chrf,43.3871,mwer
10380,CUNI-KIT,medium,nat,intp,ted_62628,document,chrf,43.0053,mwer
10381,CUNI-KIT,medium,nat,intp,ted_63920,document,chrf,38.7654,mwer
10382,NAIST,high,nat,ref,all-nat,testset,chrf,42.45,sent
10383,FBK,medium,nat,ref+mw-intp,ted_37498,document,bleu,21.9161,sent+mw
10384,FBK,medium,nat,ref+mw-intp,ted_39331,document,bleu,36.5998,sent+mw
10385,FBK,medium,nat,ref+mw-intp,ted_42604,document,bleu,27.7224,sent+mw
10386,FBK,medium,nat,ref+mw-intp,ted_45614,document,bleu,18.7805,sent+mw
10387,FBK,medium,nat,ref+mw-intp,ted_45973,document,bleu,23.1298,sent+mw
10388,FBK,medium,nat,ref+mw-intp,ted_46528,document,bleu,21.6554,sent+mw
10389,FBK,medium,nat,ref+mw-intp,ted_49440,document,bleu,26.4106,sent+mw
10390,FBK,medium,nat,ref+mw-intp,ted_50853,document,bleu,18.3533,sent+mw
10391,FBK,medium,nat,ref+mw-intp,ted_51101,document,bleu,23.7562,sent+mw
10392,FBK,medium,nat,ref+mw-intp,ted_52268,document,bleu,36.3774,sent+mw
10393,FBK,medium,nat,ref+mw-intp,ted_54706,document,bleu,13.9849,sent+mw
10394,FBK,medium,nat,ref+mw-intp,ted_55061,document,bleu,27.0457,sent+mw
10395,FBK,medium,nat,ref+mw-intp,ted_56901,document,bleu,14.115,sent+mw
10396,FBK,medium,nat,ref+mw-intp,ted_57418,document,bleu,26.9014,sent+mw
10397,FBK,medium,nat,ref+mw-intp,ted_60872,document,bleu,20.8253,sent+mw
10398,FBK,medium,nat,ref+mw-intp,ted_62628,document,bleu,18.4008,sent+mw
10399,FBK,medium,nat,ref+mw-intp,ted_63920,document,bleu,17.4038,sent+mw
10400,HW-TSC,low,nat,ref,ted_37498,document,chrf,39.0199,sent
10401,HW-TSC,low,nat,ref,ted_39331,document,chrf,48.5011,sent
10402,HW-TSC,low,nat,ref,ted_42604,document,chrf,45.178,sent
10403,HW-TSC,low,nat,ref,ted_45614,document,chrf,43.4437,sent
10404,HW-TSC,low,nat,ref,ted_45973,document,chrf,35.5995,sent
10405,HW-TSC,low,nat,ref,ted_46528,document,chrf,41.899,sent
10406,HW-TSC,low,nat,ref,ted_49440,document,chrf,41.6983,sent
10407,HW-TSC,low,nat,ref,ted_50853,document,chrf,40.1099,sent
10408,HW-TSC,low,nat,ref,ted_51101,document,chrf,43.8739,sent
10409,HW-TSC,low,nat,ref,ted_52268,document,chrf,45.9618,sent
10410,HW-TSC,low,nat,ref,ted_54706,document,chrf,37.2906,sent
10411,HW-TSC,low,nat,ref,ted_55061,document,chrf,39.6796,sent
10412,HW-TSC,low,nat,ref,ted_56901,document,chrf,35.6136,sent
10413,HW-TSC,low,nat,ref,ted_57418,document,chrf,41.3202,sent
10414,HW-TSC,low,nat,ref,ted_60872,document,chrf,39.9893,sent
10415,HW-TSC,low,nat,ref,ted_62628,document,chrf,39.8046,sent
10416,HW-TSC,low,nat,ref,ted_63920,document,chrf,40.9415,sent
10417,CUNI-KIT,high,nonn,ref+mw-intp,all-nonn,testset,chrf,51.8314,sent+mw
10418,CUNI-KIT,low,nat,ref,all-nat,testset,bleu,18.3777,sent
10419,HW-TSC,medium,nonn,ref+mw-intp,03_botel-proti-proudu,document,bleu,4.8401,sent+mw
10420,HW-TSC,medium,nonn,ref+mw-intp,04_g-t,document,bleu,15.4796,sent+mw
10421,HW-TSC,medium,nonn,ref+mw-intp,05_i-dodge,document,bleu,4.6164,sent+mw
10422,HW-TSC,medium,nonn,ref+mw-intp,06_masaze-petr-klic,document,bleu,5.578,sent+mw
10423,HW-TSC,medium,nonn,ref+mw-intp,07_bucherinsel-west,document,bleu,11.375,sent+mw
10424,HW-TSC,medium,nonn,ref+mw-intp,08_jizeran,document,bleu,19.9832,sent+mw
10425,HW-TSC,medium,nonn,ref+mw-intp,09_il-gabbiano,document,bleu,7.3073,sent+mw
10426,HW-TSC,medium,nonn,ref+mw-intp,10_magic-travel,document,bleu,11.7021,sent+mw
10427,HW-TSC,medium,nonn,ref+mw-intp,11_trefa,document,bleu,10.8863,sent+mw
10428,HW-TSC,medium,nonn,ref+mw-intp,12_fictionalcine,document,bleu,7.6581,sent+mw
10429,HW-TSC,medium,nonn,ref+mw-intp,13_don-bosco-barcelona,document,bleu,3.6904,sent+mw
10430,HW-TSC,medium,nonn,ref+mw-intp,14_llibres-i-revistes-edb,document,bleu,1.7848,sent+mw
10431,HW-TSC,medium,nonn,ref+mw-intp,15_brnkni,document,bleu,5.8883,sent+mw
10432,HW-TSC,medium,nonn,ref+mw-intp,16_develop-most,document,bleu,11.2418,sent+mw
10433,HW-TSC,medium,nonn,ref+mw-intp,17_tf-smart-team,document,bleu,17.7697,sent+mw
10434,HW-TSC,medium,nonn,ref+mw-intp,18_tf-magic-world,document,bleu,7.7306,sent+mw
10435,HW-TSC,medium,nonn,ref+mw-intp,19_be-beauty,document,bleu,8.5222,sent+mw
10436,HW-TSC,medium,nonn,ref+mw-intp,20_mela-e-piu,document,bleu,1.0407,sent+mw
10437,HW-TSC,medium,nonn,ref+mw-intp,21_hat-cap,document,bleu,6.1773,sent+mw
10438,HW-TSC,medium,nonn,ref+mw-intp,22_new-design-world,document,bleu,13.2654,sent+mw
10439,HW-TSC,medium,nonn,ref+mw-intp,23_pillowdream,document,bleu,9.7938,sent+mw
10440,HW-TSC,medium,nonn,ref+mw-intp,24_mole-g-p-technologies,document,bleu,5.9533,sent+mw
10441,HW-TSC,medium,nonn,ref+mw-intp,25_folkstyle,document,bleu,20.3887,sent+mw
10442,HW-TSC,medium,nonn,ref+mw-intp,26_tabacco-shop,document,bleu,23.4111,sent+mw
10443,HW-TSC,medium,nonn,ref+mw-intp,27_f-e-international-tour,document,bleu,14.8644,sent+mw
10444,HW-TSC,medium,nonn,ref+mw-intp,28_samanka,document,bleu,8.2699,sent+mw
10445,HW-TSC,medium,nonn,ref+mw-intp,29_salon-n-g,document,bleu,8.0151,sent+mw
10446,HW-TSC,medium,nonn,ref+mw-intp,30_appolonas,document,bleu,8.8599,sent+mw
10447,HW-TSC,medium,nonn,ref+mw-intp,31_devil-chocolate,document,bleu,26.1441,sent+mw
10448,HW-TSC,medium,nonn,ref+mw-intp,32_ck-remoa,document,bleu,8.7437,sent+mw
10449,HW-TSC,medium,nonn,ref+mw-intp,33_logistic-servis,document,bleu,2.2456,sent+mw
10450,HW-TSC,medium,nonn,ref+mw-intp,34_kol_action_accessoires,document,bleu,24.3332,sent+mw
10451,HW-TSC,medium,nonn,ref+mw-intp,35_f-e-time-travel-agency,document,bleu,11.3374,sent+mw
10452,HW-TSC,medium,nonn,ref+mw-intp,36_step-house,document,bleu,11.949,sent+mw
10453,HW-TSC,medium,nonn,ref+mw-intp,37_caspowalk,document,bleu,18.5389,sent+mw
10454,HW-TSC,medium,nonn,ref+mw-intp,38_seta,document,bleu,7.458,sent+mw
10455,HW-TSC,medium,nonn,ref+mw-intp,39_total-regal,document,bleu,13.606,sent+mw
10456,HW-TSC,medium,nonn,ref+mw-intp,austrian,document,bleu,25.2826,sent+mw
10457,HW-TSC,medium,nonn,ref+mw-intp,belgian,document,bleu,21.8497,sent+mw
10458,HW-TSC,medium,nonn,ref+mw-intp,dutch,document,bleu,17.2589,sent+mw
10459,HW-TSC,medium,nonn,ref+mw-intp,polish,document,bleu,24.2406,sent+mw
10460,HW-TSC,medium,nonn,ref+mw-intp,romanian,document,bleu,25.7778,sent+mw
10461,HW-TSC,medium,nonn,ref+mw-intp,spanish,document,bleu,15.2979,sent+mw
10462,NAIST,high,nat,ref+mw-intp,all-nat,testset,bleu,13.6593,sent+mw
10463,NAIST,medium,nonn,ref,03_botel-proti-proudu,document,bleu,5.8214,sent
10464,NAIST,medium,nonn,ref,04_g-t,document,bleu,9.9881,sent
10465,NAIST,medium,nonn,ref,05_i-dodge,document,bleu,2.5945,sent
10466,NAIST,medium,nonn,ref,06_masaze-petr-klic,document,bleu,3.4455,sent
10467,NAIST,medium,nonn,ref,07_bucherinsel-west,document,bleu,9.1541,sent
10468,NAIST,medium,nonn,ref,08_jizeran,document,bleu,16.7131,sent
10469,NAIST,medium,nonn,ref,09_il-gabbiano,document,bleu,9.0735,sent
10470,NAIST,medium,nonn,ref,10_magic-travel,document,bleu,14.8072,sent
10471,NAIST,medium,nonn,ref,11_trefa,document,bleu,8.4155,sent
10472,NAIST,medium,nonn,ref,12_fictionalcine,document,bleu,9.6668,sent
10473,NAIST,medium,nonn,ref,13_don-bosco-barcelona,document,bleu,4.3203,sent
10474,NAIST,medium,nonn,ref,14_llibres-i-revistes-edb,document,bleu,6.7322,sent
10475,NAIST,medium,nonn,ref,15_brnkni,document,bleu,3.3568,sent
10476,NAIST,medium,nonn,ref,16_develop-most,document,bleu,5.6425,sent
10477,NAIST,medium,nonn,ref,17_tf-smart-team,document,bleu,6.995,sent
10478,NAIST,medium,nonn,ref,18_tf-magic-world,document,bleu,15.0795,sent
10479,NAIST,medium,nonn,ref,19_be-beauty,document,bleu,4.4582,sent
10480,NAIST,medium,nonn,ref,20_mela-e-piu,document,bleu,0.7414,sent
10481,NAIST,medium,nonn,ref,21_hat-cap,document,bleu,3.3456,sent
10482,NAIST,medium,nonn,ref,22_new-design-world,document,bleu,10.5394,sent
10483,NAIST,medium,nonn,ref,23_pillowdream,document,bleu,8.7569,sent
10484,NAIST,medium,nonn,ref,24_mole-g-p-technologies,document,bleu,4.5459,sent
10485,NAIST,medium,nonn,ref,25_folkstyle,document,bleu,14.9671,sent
10486,NAIST,medium,nonn,ref,26_tabacco-shop,document,bleu,7.2611,sent
10487,NAIST,medium,nonn,ref,27_f-e-international-tour,document,bleu,9.7518,sent
10488,NAIST,medium,nonn,ref,28_samanka,document,bleu,5.32,sent
10489,NAIST,medium,nonn,ref,29_salon-n-g,document,bleu,14.08,sent
10490,NAIST,medium,nonn,ref,30_appolonas,document,bleu,7.7209,sent
10491,NAIST,medium,nonn,ref,31_devil-chocolate,document,bleu,7.0344,sent
10492,NAIST,medium,nonn,ref,32_ck-remoa,document,bleu,9.1,sent
10493,NAIST,medium,nonn,ref,33_logistic-servis,document,bleu,4.5415,sent
10494,NAIST,medium,nonn,ref,34_kol_action_accessoires,document,bleu,15.1207,sent
10495,NAIST,medium,nonn,ref,35_f-e-time-travel-agency,document,bleu,7.1433,sent
10496,NAIST,medium,nonn,ref,36_step-house,document,bleu,16.8821,sent
10497,NAIST,medium,nonn,ref,37_caspowalk,document,bleu,11.6286,sent
10498,NAIST,medium,nonn,ref,38_seta,document,bleu,22.7279,sent
10499,NAIST,medium,nonn,ref,39_total-regal,document,bleu,5.4443,sent
10500,NAIST,medium,nonn,ref,austrian,document,bleu,12.4083,sent
10501,NAIST,medium,nonn,ref,belgian,document,bleu,12.976,sent
10502,NAIST,medium,nonn,ref,dutch,document,bleu,3.1845,sent
10503,NAIST,medium,nonn,ref,polish,document,bleu,9.0933,sent
10504,NAIST,medium,nonn,ref,romanian,document,bleu,17.2891,sent
10505,NAIST,medium,nonn,ref,spanish,document,bleu,7.3974,sent
10506,HW-TSC,high,nat,ref,ted_37498,document,bleu,17.314,sent
10507,HW-TSC,high,nat,ref,ted_39331,document,bleu,29.7324,sent
10508,HW-TSC,high,nat,ref,ted_42604,document,bleu,23.7526,sent
10509,HW-TSC,high,nat,ref,ted_45614,document,bleu,17.4395,sent
10510,HW-TSC,high,nat,ref,ted_45973,document,bleu,15.9869,sent
10511,HW-TSC,high,nat,ref,ted_46528,document,bleu,15.7922,sent
10512,HW-TSC,high,nat,ref,ted_49440,document,bleu,23.0095,sent
10513,HW-TSC,high,nat,ref,ted_50853,document,bleu,15.2893,sent
10514,HW-TSC,high,nat,ref,ted_51101,document,bleu,21.5075,sent
10515,HW-TSC,high,nat,ref,ted_52268,document,bleu,29.0456,sent
10516,HW-TSC,high,nat,ref,ted_54706,document,bleu,12.6224,sent
10517,HW-TSC,high,nat,ref,ted_55061,document,bleu,23.5818,sent
10518,HW-TSC,high,nat,ref,ted_56901,document,bleu,8.6507,sent
10519,HW-TSC,high,nat,ref,ted_57418,document,bleu,20.6008,sent
10520,HW-TSC,high,nat,ref,ted_60872,document,bleu,13.5396,sent
10521,HW-TSC,high,nat,ref,ted_62628,document,bleu,13.361,sent
10522,HW-TSC,high,nat,ref,ted_63920,document,bleu,16.7784,sent
10523,NAIST,low,nonn,ref+mw-intp,all-nonn,testset,chrf,32.6174,sent+mw
10524,HW-TSC,high,nat,ref+mw-intp,ted_37498,document,bleu,24.2595,sent+mw
10525,HW-TSC,high,nat,ref+mw-intp,ted_39331,document,bleu,33.655,sent+mw
10526,HW-TSC,high,nat,ref+mw-intp,ted_42604,document,bleu,28.0544,sent+mw
10527,HW-TSC,high,nat,ref+mw-intp,ted_45614,document,bleu,23.0031,sent+mw
10528,HW-TSC,high,nat,ref+mw-intp,ted_45973,document,bleu,21.7425,sent+mw
10529,HW-TSC,high,nat,ref+mw-intp,ted_46528,document,bleu,20.4957,sent+mw
10530,HW-TSC,high,nat,ref+mw-intp,ted_49440,document,bleu,26.4833,sent+mw
10531,HW-TSC,high,nat,ref+mw-intp,ted_50853,document,bleu,20.0495,sent+mw
10532,HW-TSC,high,nat,ref+mw-intp,ted_51101,document,bleu,25.878,sent+mw
10533,HW-TSC,high,nat,ref+mw-intp,ted_52268,document,bleu,33.22,sent+mw
10534,HW-TSC,high,nat,ref+mw-intp,ted_54706,document,bleu,16.2772,sent+mw
10535,HW-TSC,high,nat,ref+mw-intp,ted_55061,document,bleu,28.4356,sent+mw
10536,HW-TSC,high,nat,ref+mw-intp,ted_56901,document,bleu,13.8352,sent+mw
10537,HW-TSC,high,nat,ref+mw-intp,ted_57418,document,bleu,25.0357,sent+mw
10538,HW-TSC,high,nat,ref+mw-intp,ted_60872,document,bleu,21.4105,sent+mw
10539,HW-TSC,high,nat,ref+mw-intp,ted_62628,document,bleu,19.0966,sent+mw
10540,HW-TSC,high,nat,ref+mw-intp,ted_63920,document,bleu,19.5871,sent+mw
10541,HW-TSC,high,nat,intp,ted_37498,document,bleu,11.0151,mwer
10542,HW-TSC,high,nat,intp,ted_39331,document,bleu,10.3254,mwer
10543,HW-TSC,high,nat,intp,ted_42604,document,bleu,8.5429,mwer
10544,HW-TSC,high,nat,intp,ted_45614,document,bleu,9.9323,mwer
10545,HW-TSC,high,nat,intp,ted_45973,document,bleu,9.4966,mwer
10546,HW-TSC,high,nat,intp,ted_46528,document,bleu,7.7096,mwer
10547,HW-TSC,high,nat,intp,ted_49440,document,bleu,8.7217,mwer
10548,HW-TSC,high,nat,intp,ted_50853,document,bleu,8.3451,mwer
10549,HW-TSC,high,nat,intp,ted_51101,document,bleu,8.1419,mwer
10550,HW-TSC,high,nat,intp,ted_52268,document,bleu,9.2174,mwer
10551,HW-TSC,high,nat,intp,ted_54706,document,bleu,6.0852,mwer
10552,HW-TSC,high,nat,intp,ted_55061,document,bleu,10.3001,mwer
10553,HW-TSC,high,nat,intp,ted_56901,document,bleu,7.8464,mwer
10554,HW-TSC,high,nat,intp,ted_57418,document,bleu,8.9127,mwer
10555,HW-TSC,high,nat,intp,ted_60872,document,bleu,10.42,mwer
10556,HW-TSC,high,nat,intp,ted_62628,document,bleu,8.7125,mwer
10557,HW-TSC,high,nat,intp,ted_63920,document,bleu,6.0122,mwer
10558,UPV,medium,nonn,intp,03_botel-proti-proudu,document,bleu,7.1108,mwer
10559,UPV,medium,nonn,intp,04_g-t,document,bleu,10.4327,mwer
10560,UPV,medium,nonn,intp,05_i-dodge,document,bleu,3.1992,mwer
10561,UPV,medium,nonn,intp,06_masaze-petr-klic,document,bleu,4.7095,mwer
10562,UPV,medium,nonn,intp,07_bucherinsel-west,document,bleu,10.6421,mwer
10563,UPV,medium,nonn,intp,08_jizeran,document,bleu,10.3975,mwer
10564,UPV,medium,nonn,intp,09_il-gabbiano,document,bleu,2.4132,mwer
10565,UPV,medium,nonn,intp,10_magic-travel,document,bleu,7.1462,mwer
10566,UPV,medium,nonn,intp,11_trefa,document,bleu,9.81,mwer
10567,UPV,medium,nonn,intp,12_fictionalcine,document,bleu,3.4815,mwer
10568,UPV,medium,nonn,intp,13_don-bosco-barcelona,document,bleu,1.9395,mwer
10569,UPV,medium,nonn,intp,14_llibres-i-revistes-edb,document,bleu,1.7722,mwer
10570,UPV,medium,nonn,intp,15_brnkni,document,bleu,7.6295,mwer
10571,UPV,medium,nonn,intp,16_develop-most,document,bleu,6.5777,mwer
10572,UPV,medium,nonn,intp,17_tf-smart-team,document,bleu,4.8238,mwer
10573,UPV,medium,nonn,intp,18_tf-magic-world,document,bleu,9.6332,mwer
10574,UPV,medium,nonn,intp,19_be-beauty,document,bleu,9.8786,mwer
10575,UPV,medium,nonn,intp,20_mela-e-piu,document,bleu,4.704,mwer
10576,UPV,medium,nonn,intp,21_hat-cap,document,bleu,6.1948,mwer
10577,UPV,medium,nonn,intp,22_new-design-world,document,bleu,9.2537,mwer
10578,UPV,medium,nonn,intp,23_pillowdream,document,bleu,2.1359,mwer
10579,UPV,medium,nonn,intp,24_mole-g-p-technologies,document,bleu,10.0848,mwer
10580,UPV,medium,nonn,intp,25_folkstyle,document,bleu,9.1105,mwer
10581,UPV,medium,nonn,intp,26_tabacco-shop,document,bleu,9.8031,mwer
10582,UPV,medium,nonn,intp,27_f-e-international-tour,document,bleu,8.3846,mwer
10583,UPV,medium,nonn,intp,28_samanka,document,bleu,5.7609,mwer
10584,UPV,medium,nonn,intp,29_salon-n-g,document,bleu,2.9672,mwer
10585,UPV,medium,nonn,intp,30_appolonas,document,bleu,8.1474,mwer
10586,UPV,medium,nonn,intp,31_devil-chocolate,document,bleu,16.3195,mwer
10587,UPV,medium,nonn,intp,32_ck-remoa,document,bleu,5.2473,mwer
10588,UPV,medium,nonn,intp,33_logistic-servis,document,bleu,4.4222,mwer
10589,UPV,medium,nonn,intp,34_kol_action_accessoires,document,bleu,9.5641,mwer
10590,UPV,medium,nonn,intp,35_f-e-time-travel-agency,document,bleu,6.3445,mwer
10591,UPV,medium,nonn,intp,36_step-house,document,bleu,3.0301,mwer
10592,UPV,medium,nonn,intp,37_caspowalk,document,bleu,3.6064,mwer
10593,UPV,medium,nonn,intp,38_seta,document,bleu,12.3792,mwer
10594,UPV,medium,nonn,intp,39_total-regal,document,bleu,6.1847,mwer
10595,UPV,medium,nonn,intp,austrian,document,bleu,8.2961,mwer
10596,UPV,medium,nonn,intp,belgian,document,bleu,7.7962,mwer
10597,UPV,medium,nonn,intp,dutch,document,bleu,5.8437,mwer
10598,UPV,medium,nonn,intp,polish,document,bleu,8.1119,mwer
10599,UPV,medium,nonn,intp,romanian,document,bleu,6.7065,mwer
10600,UPV,medium,nonn,intp,spanish,document,bleu,5.0167,mwer
10601,UPV,high,nonn,ref,03_botel-proti-proudu,document,bleu,15.3869,sent
10602,UPV,high,nonn,ref,04_g-t,document,bleu,29.5069,sent
10603,UPV,high,nonn,ref,05_i-dodge,document,bleu,9.6428,sent
10604,UPV,high,nonn,ref,06_masaze-petr-klic,document,bleu,18.3814,sent
10605,UPV,high,nonn,ref,07_bucherinsel-west,document,bleu,33.6993,sent
10606,UPV,high,nonn,ref,08_jizeran,document,bleu,27.3056,sent
10607,UPV,high,nonn,ref,09_il-gabbiano,document,bleu,4.1418,sent
10608,UPV,high,nonn,ref,10_magic-travel,document,bleu,23.4806,sent
10609,UPV,high,nonn,ref,11_trefa,document,bleu,23.9654,sent
10610,UPV,high,nonn,ref,12_fictionalcine,document,bleu,27.9104,sent
10611,UPV,high,nonn,ref,13_don-bosco-barcelona,document,bleu,11.9165,sent
